species;body_size;synonym;class;corrected_status;corrected_code;corrected_agreg_ts
Microtus tatricus;40.00;NA;Mammalia;Least Concern;LC;not_threatened
Microtus thomasi;25.67;NA;Mammalia;Least Concern;LC;not_threatened
Mus macedonicus;15.00;NA;Mammalia;Least Concern;LC;not_threatened
Mus musculus;16.25;NA;Mammalia;Least Concern;LC;not_threatened
Mus spicilegus;14.00;NA;Mammalia;Least Concern;LC;not_threatened
Mus spretus;12.80;NA;Mammalia;Least Concern;LC;not_threatened
Muscardinus avellanarius;27.50;NA;Mammalia;Least Concern;LC;not_threatened
Mustela erminea;119.38;NA;Mammalia;Least Concern;LC;not_threatened
Mustela eversmanii;1684.21;NA;Mammalia;Least Concern;LC;not_threatened
Mustela nivalis;103.88;NA;Mammalia;Least Concern;LC;not_threatened
Mustela putorius;915.37;NA;Mammalia;Least Concern;LC;not_threatened
Mustela sibirica;405.00;NA;Mammalia;Least Concern;LC;not_threatened
Myopus schisticolor;25.00;NA;Mammalia;Least Concern;LC;not_threatened
Myotis blythii;22.47;NA;Mammalia;Least Concern;LC;not_threatened
Myotis brandtii;5.30;NA;Mammalia;Least Concern;LC;not_threatened
Myotis daubentonii;7.63;NA;Mammalia;Least Concern;LC;not_threatened
Myotis emarginatus;7.66;NA;Mammalia;Least Concern;LC;not_threatened
Myotis myotis;24.79;NA;Mammalia;Least Concern;LC;not_threatened
Myotis mystacinus;4.99;NA;Mammalia;Least Concern;LC;not_threatened
Myotis nattereri;7.14;NA;Mammalia;Least Concern;LC;not_threatened
Neomys anomalus;16.00;NA;Mammalia;Least Concern;LC;not_threatened
Neomys fodiens;14.30;NA;Mammalia;Least Concern;LC;not_threatened
Neomys teres;15.13;NA;Mammalia;Least Concern;LC;not_threatened
Nyctalus leisleri;13.28;NA;Mammalia;Least Concern;LC;not_threatened
Nyctalus noctula;28.00;NA;Mammalia;Least Concern;LC;not_threatened
Ochotona hyperborea;120.00;NA;Mammalia;Least Concern;LC;not_threatened
Ochotona pusilla;142.50;NA;Mammalia;Least Concern;LC;not_threatened
Otocolobus manul;3500.00;NA;Mammalia;Least Concern;LC;not_threatened
Pipistrellus kuhlii;5.93;NA;Mammalia;Least Concern;LC;not_threatened
Pipistrellus nathusii;7.31;NA;Mammalia;Least Concern;LC;not_threatened
Pipistrellus pipistrellus;5.69;NA;Mammalia;Least Concern;LC;not_threatened
Pipistrellus pygmaeus;5.28;NA;Mammalia;Least Concern;LC;not_threatened
Plecotus auritus;7.83;NA;Mammalia;Least Concern;LC;not_threatened
Plecotus kolombatovici;7.56;NA;Mammalia;Least Concern;LC;not_threatened
Plecotus macrobullaris;7.56;NA;Mammalia;Least Concern;LC;not_threatened
Prometheomys schaposchnikowi;75.00;NA;Mammalia;Least Concern;LC;not_threatened
Pteromys volans;143.75;NA;Mammalia;Least Concern;LC;not_threatened
Pygeretmus platyurus;40.14;NA;Mammalia;Least Concern;LC;not_threatened
Pygeretmus pumilio;52.00;NA;Mammalia;Least Concern;LC;not_threatened
Rhinolophus blasii;9.70;NA;Mammalia;Least Concern;LC;not_threatened
Rhinolophus ferrumequinum;21.06;NA;Mammalia;Least Concern;LC;not_threatened
Rhinolophus hipposideros;4.71;NA;Mammalia;Least Concern;LC;not_threatened
Rhombomys opimus;144.00;NA;Mammalia;Least Concern;LC;not_threatened
Rousettus aegyptiacus;132.24;NA;Mammalia;Least Concern;LC;not_threatened
Rupicapra pyrenaica;30000.00;NA;Mammalia;Least Concern;LC;not_threatened
Rupicapra rupicapra;26100.00;NA;Mammalia;Least Concern;LC;not_threatened
Sciurus anomalus;256.00;NA;Mammalia;Least Concern;LC;not_threatened
Sciurus vulgaris;333.00;NA;Mammalia;Least Concern;LC;not_threatened
Sicista betulina;8.00;NA;Mammalia;Least Concern;LC;not_threatened
Sicista kluchorica;7.20;NA;Mammalia;Least Concern;LC;not_threatened
Sicista severtzovi;11.77;NA;Mammalia;Least Concern;LC;not_threatened
Sicista strandi;10.30;NA;Mammalia;Least Concern;LC;not_threatened
Sicista subtilis;11.75;NA;Mammalia;Least Concern;LC;not_threatened
Sorex antinorii;6.05;NA;Mammalia;Least Concern;LC;not_threatened
Sorex araneus;10.00;NA;Mammalia;Least Concern;LC;not_threatened
Sorex caecutiens;5.38;NA;Mammalia;Least Concern;LC;not_threatened
Sorex coronatus;9.60;NA;Mammalia;Least Concern;LC;not_threatened
Sorex granarius;6.28;NA;Mammalia;Least Concern;LC;not_threatened
Sorex isodon;9.35;NA;Mammalia;Least Concern;LC;not_threatened
Sorex minutissimus;2.51;NA;Mammalia;Least Concern;LC;not_threatened
Sorex minutus;4.50;NA;Mammalia;Least Concern;LC;not_threatened
Sorex raddei;10.00;NA;Mammalia;Least Concern;LC;not_threatened
Sorex samniticus;8.25;NA;Mammalia;Least Concern;LC;not_threatened
Sorex satunini;7.47;NA;Mammalia;Least Concern;LC;not_threatened
Sorex tundrensis;7.73;NA;Mammalia;Least Concern;LC;not_threatened
Sorex volnuchini;4.61;NA;Mammalia;Least Concern;LC;not_threatened
Spalax giganteus;301.96;NA;Mammalia;Least Concern;LC;not_threatened
Spalax microphthalmus;470.00;NA;Mammalia;Least Concern;LC;not_threatened
Spermophilus fulvus;596.00;NA;Mammalia;Least Concern;LC;not_threatened
Spermophilus major;269.07;NA;Mammalia;Least Concern;LC;not_threatened
Spermophilus pygmaeus;136.00;NA;Mammalia;Least Concern;LC;not_threatened
Spermophilus taurensis;NA;Spermophilus taurensis;Mammalia;Least Concern;LC;not_threatened
Stylodipus telum;55.00;NA;Mammalia;Least Concern;LC;not_threatened
Suncus etruscus;2.13;NA;Mammalia;Least Concern;LC;not_threatened
Sus scrofa;96118.09;NA;Mammalia;Least Concern;LC;not_threatened
Tadarida teniotis;27.04;NA;Mammalia;Least Concern;LC;not_threatened
Talpa caeca;92.50;NA;Mammalia;Least Concern;LC;not_threatened
Talpa caucasica;90.00;NA;Mammalia;Least Concern;LC;not_threatened
Talpa europaea;77.00;NA;Mammalia;Least Concern;LC;not_threatened
Talpa levantis;90.00;NA;Mammalia;Least Concern;LC;not_threatened
Talpa occidentalis;53.50;NA;Mammalia;Least Concern;LC;not_threatened
Talpa romana;92.50;NA;Mammalia;Least Concern;LC;not_threatened
Talpa stankovici;71.12;NA;Mammalia;Least Concern;LC;not_threatened
Tatera indica;166.31;NA;Mammalia;Least Concern;LC;not_threatened
Ursus arctos;180520.42;NA;Mammalia;Least Concern;LC;not_threatened
Vespertilio murinus;18.70;NA;Mammalia;Least Concern;LC;not_threatened
Vulpes corsac;2400.00;NA;Mammalia;Least Concern;LC;not_threatened
Vulpes vulpes;5476.17;NA;Mammalia;Least Concern;LC;not_threatened
Apodemus hyrcanicus;25.76;NA;Mammalia;Near Threatened;NT;not_threatened
Barbastella barbastellus;8.03;NA;Mammalia;Near Threatened;NT;not_threatened
Bison bonasus;500000.00;NA;Mammalia;Near Threatened;NT;not_threatened
Eliomys quercinus;115.00;NA;Mammalia;Near Threatened;NT;not_threatened
Hyaena hyaena;41705.11;NA;Mammalia;Near Threatened;NT;not_threatened
Lutra lutra;8785.14;NA;Mammalia;Near Threatened;NT;not_threatened
Mesocricetus brandti;198.00;NA;Mammalia;Near Threatened;NT;not_threatened
Mesocricetus newtoni;97.50;NA;Mammalia;Near Threatened;NT;not_threatened
Microtus cabrerae;52.50;NA;Mammalia;Near Threatened;NT;not_threatened
Myotis bechsteinii;9.47;NA;Mammalia;Near Threatened;NT;not_threatened
Myotis dasycneme;14.13;NA;Mammalia;Near Threatened;NT;not_threatened
Plecotus austriacus;7.30;NA;Mammalia;Near Threatened;NT;not_threatened
Rhinolophus euryale;8.15;NA;Mammalia;Near Threatened;NT;not_threatened
Sicista caucasica;10.00;NA;Mammalia;Near Threatened;NT;not_threatened
Sorex alpinus;7.80;NA;Mammalia;Near Threatened;NT;not_threatened
Spalax uralensis;295.05;NA;Mammalia;Near Threatened;NT;not_threatened
Spermophilus musicus;284.72;NA;Mammalia;Near Threatened;NT;not_threatened
Spermophilus suslicus;252.00;NA;Mammalia;Near Threatened;NT;not_threatened
Spermophilus xanthoprymnus;289.67;NA;Mammalia;Near Threatened;NT;not_threatened
Cricetus cricetus;510.00;NA;Mammalia;Critically Endangered;CE;threatened
Meriones dahli;90.15;NA;Mammalia;Critically Endangered;CE;threatened
Microtus bavaricus;23.94;NA;Mammalia;Critically Endangered;CE;threatened
Mustela lutreola;440.00;NA;Mammalia;Critically Endangered;CE;threatened
Saiga tatarica;29000.00;NA;Mammalia;Critically Endangered;CE;threatened
Sicista armenica;6.53;NA;Mammalia;Critically Endangered;CE;threatened
Capra caucasica;55000.00;NA;Mammalia;Endangered;EN;threatened
Crocidura canariensis;7.50;NA;Mammalia;Endangered;EN;threatened
Crocidura zimmermanni;10.35;NA;Mammalia;Endangered;EN;threatened
Desmana moschata;383.00;NA;Mammalia;Endangered;EN;threatened
Galemys pyrenaicus;60.17;NA;Mammalia;Endangered;EN;threatened
Lynx pardinus;9400.00;NA;Mammalia;Endangered;EN;threatened
Mesocricetus auratus;105.00;NA;Mammalia;Endangered;EN;threatened
Oryctolagus cuniculus;1832.22;NA;Mammalia;Endangered;EN;threatened
Sicista kazbegica;6.43;NA;Mammalia;Endangered;EN;threatened
Spalax arenarius;520.00;NA;Mammalia;Endangered;EN;threatened
Spermophilus citellus;290.00;NA;Mammalia;Endangered;EN;threatened
Arvicola sapidus;220.00;NA;Mammalia;Vulnerable;VU;threatened
Dinaromys bogdanovi;56.00;NA;Mammalia;Vulnerable;VU;threatened
Gazella subgutturosa;28500.00;NA;Mammalia;Vulnerable;VU;threatened
Lepus castroviejoi;2822.41;NA;Mammalia;Vulnerable;VU;threatened
Lepus corsicanus;3000.00;NA;Mammalia;Vulnerable;VU;threatened
Miniopterus schreibersii;11.46;NA;Mammalia;Vulnerable;VU;threatened
Myomimus roachi;36.99;NA;Mammalia;Vulnerable;VU;threatened
Myotis capaccinii;7.44;NA;Mammalia;Vulnerable;VU;threatened
Nyctalus lasiopterus;49.73;NA;Mammalia;Vulnerable;VU;threatened
Panthera pardus;52038.22;NA;Mammalia;Vulnerable;VU;threatened
Pipistrellus maderensis;6.20;NA;Mammalia;Vulnerable;VU;threatened
Plecotus sardus;7.56;NA;Mammalia;Vulnerable;VU;threatened
Plecotus teneriffae;8.33;NA;Mammalia;Vulnerable;VU;threatened
Rangifer tarandus;86033.98;NA;Mammalia;Vulnerable;VU;threatened
Rhinolophus mehelyi;12.33;NA;Mammalia;Vulnerable;VU;threatened
Spalax graecus;316.04;NA;Mammalia;Vulnerable;VU;threatened
Spalax zemni;316.28;NA;Mammalia;Vulnerable;VU;threatened
Ursus maritimus;388750.36;NA;Mammalia;Vulnerable;VU;threatened
Vormela peregusna;450.38;NA;Mammalia;Vulnerable;VU;threatened
Zamenis persica;186.23;Zamenis persicus;Reptilia;Data Deficient;DD;none
Mus cypriacus;NA;Mus cypriacus;Mammalia;Least Concern;LC;not_threatened
Myotis aurascens;NA;Myotis aurascens;Mammalia;Least Concern;LC;not_threatened
Psammodromus manuelae;NA;Psammodromus manuelae;Reptilia;Least Concern;LC;not_threatened
Trapelus lessonae;NA;Trapelus lessonae;Reptilia;Least Concern;LC;not_threatened
Mauremys caspica;2260.64;NA;Reptilia;Least Concern;LC;not_threatened
Eirenic hakkariensis;11.45;Eirenis thospitis;Reptilia;Data Deficient;DD;none
Rhinotyphlops episcopus;NA;Letheobia episcopus;Reptilia;Data Deficient;DD;none
Chalcides bistriatus;NA;Chalcides sexlineatus;Reptilia;Least Concern;LC;not_threatened
Darevskia nairensis;NA;Darevskia raddei;Reptilia;Least Concern;LC;not_threatened
Eumeces schneideri;NA;Eumeces schneiderii;Reptilia;Least Concern;LC;not_threatened
Vipera nikolskii;244.76;Vipera berus;Reptilia;Least Concern;LC;not_threatened
Mauremys leprosa;2260.64;NA;Reptilia;Near Threatened;NT;not_threatened
Gallotia auaritae;1859.63;Gallotia auaritae;Reptilia;Critically Endangered;CE;threatened
Darevskia rostombekovi;NA;Darevskia rostombekowi;Reptilia;Endangered;EN;threatened
Dolichophis cypriensis;NA;Hierophis cypriensis;Reptilia;Endangered;EN;threatened
Emys trinacris;548.56;NA;Reptilia;Data Deficient;DD;none
Eublepharis angramainyu;125.92;NA;Reptilia;Data Deficient;DD;none
Iranolacerta brandtii;10.34;NA;Reptilia;Data Deficient;DD;none
Zamenis lineatus;450.93;NA;Reptilia;Data Deficient;DD;none
Emys orbicularis;1599.19;NA;Reptilia;Lower Risk/near threatened;NT;none
Anatolacerta anatolica;9.78;Anatololacerta anatolica;Reptilia;Least Concern;LC;not_threatened
Anatolacerta danfordi;9.78;Anatololacerta danfordi;Reptilia;Least Concern;LC;not_threatened
Anatolacerta oertzeni;NA;Anatololacerta oertzeni;Reptilia;Least Concern;LC;not_threatened
Cyrtopodion caspium;NA;Tenuidactylus caspius;Reptilia;Least Concern;LC;not_threatened
Cyrtopodion heterocercum;NA;Mediodactylus heterocercus;Reptilia;Least Concern;LC;not_threatened
Cyrtopodion kotschyi;NA;Mediodactylus kotschyi;Reptilia;Least Concern;LC;not_threatened
Cyrtopodion russowii;NA;Mediodactylus russowii;Reptilia;Least Concern;LC;not_threatened
Eirenis rothi;NA;Eirenis rothii;Reptilia;Least Concern;LC;not_threatened
Hierophis gyarosensis;NA;Hierophis viridiflavus;Reptilia;Least Concern;LC;not_threatened
Laudakia caucasia;NA;Paralaudakia caucasia;Reptilia;Least Concern;LC;not_threatened
Laudakia stellio;NA;Laudakia stellio;Reptilia;Least Concern;LC;not_threatened
Leptotyphlops macrorhynchus;NA;Myriopholis macrorhyncha;Reptilia;Least Concern;LC;not_threatened
Macroprotodon mauritanicus;29.85;Macroprotodon cucullatus;Reptilia;Least Concern;LC;not_threatened
Macrovipera lebetina;4769.84;Macrovipera lebetinus;Reptilia;Least Concern;LC;not_threatened
Mauremys rivulata;2111.99;NA;Reptilia;Least Concern;LC;not_threatened
Natrix tesselleta;283.79;Natrix tessellata;Reptilia;Least Concern;LC;not_threatened
Podarcis atrata;NA;Podarcis liolepis;Reptilia;Least Concern;LC;not_threatened
Podarcis hispanica;9.40;Podarcis hispanicus;Reptilia;Least Concern;LC;not_threatened
Podarcis peloponnesiaca;14.15;Podarcis peloponnesiacus;Reptilia;Least Concern;LC;not_threatened
Podarcis sicula;16.75;Podarcis siculus;Reptilia;Least Concern;LC;not_threatened
Podarcis taurica;17.30;Podarcis tauricus;Reptilia;Least Concern;LC;not_threatened
Podarcis wagleriana;10.17;Podarcis waglerianus;Reptilia;Least Concern;LC;not_threatened
Pseudocyclophis persicus;NA;Eirenis persicus;Reptilia;Least Concern;LC;not_threatened
Rhinechis scalaris;NA;Zamenis scalaris;Reptilia;Least Concern;LC;not_threatened
Tarentola bischoffi;5.68;Tarentola boettgeri;Reptilia;Least Concern;LC;not_threatened
Trachylepis aurata;NA;Heremites auratus;Reptilia;Least Concern;LC;not_threatened
Trachylepis septemtaeniata;NA;Heremites septemtaeniatus;Reptilia;Least Concern;LC;not_threatened
Trachylepis vittata;NA;Heremites vittatus;Reptilia;Least Concern;LC;not_threatened
Typhlops vermicularis;NA;Xerotyphlops vermicularis;Reptilia;Least Concern;LC;not_threatened
Ablepharus bivittatus;4.36;NA;Reptilia;Least Concern;LC;not_threatened
Ablepharus budaki;2.01;NA;Reptilia;Least Concern;LC;not_threatened
Ablepharus chernovi;2.94;NA;Reptilia;Least Concern;LC;not_threatened
Ablepharus kitaibelii;4.74;NA;Reptilia;Least Concern;LC;not_threatened
Ablepharus pannonicus;3.12;NA;Reptilia;Least Concern;LC;not_threatened
Acanthodactylus boskianus;19.65;NA;Reptilia;Least Concern;LC;not_threatened
Acanthodactylus erythrurus;13.66;NA;Reptilia;Least Concern;LC;not_threatened
Algyroides fitzingeri;2.17;NA;Reptilia;Least Concern;LC;not_threatened
Algyroides nigropunctatus;7.98;NA;Reptilia;Least Concern;LC;not_threatened
Alsophylax pipiens;1.69;NA;Reptilia;Least Concern;LC;not_threatened
Anguis fragilis;79.72;NA;Reptilia;Least Concern;LC;not_threatened
Apathya cappadocica;14.58;NA;Reptilia;Least Concern;LC;not_threatened
Asaccus elisae;7.19;NA;Reptilia;Least Concern;LC;not_threatened
Blanus cinereus;16.57;NA;Reptilia;Least Concern;LC;not_threatened
Blanus strauchi;9.74;NA;Reptilia;Least Concern;LC;not_threatened
Chalcides chalcides;33.98;NA;Reptilia;Least Concern;LC;not_threatened
Chalcides ocellatus;97.86;NA;Reptilia;Least Concern;LC;not_threatened
Chalcides sexlineatus;20.84;NA;Reptilia;Least Concern;LC;not_threatened
Chalcides striatus;33.98;NA;Reptilia;Least Concern;LC;not_threatened
Chalcides viridanus;48.99;NA;Reptilia;Least Concern;LC;not_threatened
Chamaeleo africanus;147.83;NA;Reptilia;Least Concern;LC;not_threatened
Chamaeleo chamaeleon;95.63;NA;Reptilia;Least Concern;LC;not_threatened
Coronella austriaca;66.52;NA;Reptilia;Least Concern;LC;not_threatened
Coronella girondica;66.52;NA;Reptilia;Least Concern;LC;not_threatened
Cyrtopodion scabrum;5.80;NA;Reptilia;Least Concern;LC;not_threatened
Dalmatolacerta oxycephala;8.19;NA;Reptilia;Least Concern;LC;not_threatened
Darevskia armeniaca;9.03;NA;Reptilia;Least Concern;LC;not_threatened
Darevskia brauneri;8.32;NA;Reptilia;Least Concern;LC;not_threatened
Darevskia caucasica;7.01;NA;Reptilia;Least Concern;LC;not_threatened
Darevskia chlorogaster;8.67;NA;Reptilia;Least Concern;LC;not_threatened
Darevskia daghestanica;4.58;NA;Reptilia;Least Concern;LC;not_threatened
Darevskia lindholmi;9.78;NA;Reptilia;Least Concern;LC;not_threatened
Darevskia parvula;5.04;NA;Reptilia;Least Concern;LC;not_threatened
Darevskia portschinskii;7.01;NA;Reptilia;Least Concern;LC;not_threatened
Darevskia raddei;10.17;NA;Reptilia;Least Concern;LC;not_threatened
Darevskia rudis;15.95;NA;Reptilia;Least Concern;LC;not_threatened
Darevskia sapphirina;4.82;NA;Reptilia;Least Concern;LC;not_threatened
Darevskia saxicola;15.67;NA;Reptilia;Least Concern;LC;not_threatened
Darevskia valentini;11.83;NA;Reptilia;Least Concern;LC;not_threatened
Dinarolacerta montenegrina;6.41;NA;Reptilia;Least Concern;LC;not_threatened
Dolichophis caspius;1200.52;NA;Reptilia;Least Concern;LC;not_threatened
Dolichophis jugularis;1200.52;NA;Reptilia;Least Concern;LC;not_threatened
Dolichophis schmidti;386.60;NA;Reptilia;Least Concern;LC;not_threatened
Eirenis aurolineatus;18.18;NA;Reptilia;Least Concern;LC;not_threatened
Eirenis barani;19.36;NA;Reptilia;Least Concern;LC;not_threatened
Eirenis coronella;5.99;NA;Reptilia;Least Concern;LC;not_threatened
Eirenis decemlineatus;68.01;NA;Reptilia;Least Concern;LC;not_threatened
Eirenis eiselti;11.45;NA;Reptilia;Least Concern;LC;not_threatened
Eirenis levantinus;16.50;NA;Reptilia;Least Concern;LC;not_threatened
Eirenis lineomaculatus;6.29;NA;Reptilia;Least Concern;LC;not_threatened
Eirenis medus;5.99;NA;Reptilia;Least Concern;LC;not_threatened
Eirenis modestus;32.04;NA;Reptilia;Least Concern;LC;not_threatened
Eirenis punctatolineatus;32.04;NA;Reptilia;Least Concern;LC;not_threatened
Elaphe dione;436.04;NA;Reptilia;Least Concern;LC;not_threatened
Elaphe sauromates;681.26;NA;Reptilia;Least Concern;LC;not_threatened
Eremias arguta;22.86;NA;Reptilia;Least Concern;LC;not_threatened
Eremias persica;21.53;NA;Reptilia;Least Concern;LC;not_threatened
Eremias scripta;6.71;NA;Reptilia;Least Concern;LC;not_threatened
Eremias strauchi;11.83;NA;Reptilia;Least Concern;LC;not_threatened
Eremias suphani;8.27;NA;Reptilia;Least Concern;LC;not_threatened
Eremias velox;19.04;NA;Reptilia;Least Concern;LC;not_threatened
Eryx jaculus;254.23;NA;Reptilia;Least Concern;LC;not_threatened
Gallotia atlantica;28.68;NA;Reptilia;Least Concern;LC;not_threatened
Gallotia caesaris;31.10;NA;Reptilia;Least Concern;LC;not_threatened
Gallotia galloti;68.42;NA;Reptilia;Least Concern;LC;not_threatened
Gallotia stehlini;1085.83;NA;Reptilia;Least Concern;LC;not_threatened
Gloydius intermedius;262.48;NA;Reptilia;Least Concern;LC;not_threatened
Hemidactylus turcicus;5.73;NA;Reptilia;Least Concern;LC;not_threatened
Hemorrhois algirus;165.31;NA;Reptilia;Least Concern;LC;not_threatened
Hemorrhois hippocrepis;681.26;NA;Reptilia;Least Concern;LC;not_threatened
Hemorrhois nummifer;217.22;NA;Reptilia;Least Concern;LC;not_threatened
Hemorrhois ravergieri;271.21;NA;Reptilia;Least Concern;LC;not_threatened
Hierophis gemonensis;219.38;NA;Reptilia;Least Concern;LC;not_threatened
Hierophis viridiflavus;386.60;NA;Reptilia;Least Concern;LC;not_threatened
Lacerta agilis;33.65;NA;Reptilia;Least Concern;LC;not_threatened
Lacerta bilineata;49.57;NA;Reptilia;Least Concern;LC;not_threatened
Lacerta media;91.49;NA;Reptilia;Least Concern;LC;not_threatened
Lacerta strigata;91.49;NA;Reptilia;Least Concern;LC;not_threatened
Lacerta trilineata;117.18;NA;Reptilia;Least Concern;LC;not_threatened
Lacerta viridis;91.49;NA;Reptilia;Least Concern;LC;not_threatened
Macroprotodon cucullatus;25.69;NA;Reptilia;Least Concern;LC;not_threatened
Malpolon monspessulanus;388.35;NA;Reptilia;Least Concern;LC;not_threatened
Mesalina brevirostris;5.06;NA;Reptilia;Least Concern;LC;not_threatened
Montivipera bulgardaghica;225.65;NA;Reptilia;Least Concern;LC;not_threatened
Montivipera xanthina;1118.34;NA;Reptilia;Least Concern;LC;not_threatened
Natrix maura;135.80;NA;Reptilia;Least Concern;LC;not_threatened
Natrix natrix;2800.93;NA;Reptilia;Least Concern;LC;not_threatened
Ophiomorus punctatissimus;2.47;NA;Reptilia;Least Concern;LC;not_threatened
Ophisops elegans;7.98;NA;Reptilia;Least Concern;LC;not_threatened
Parvilacerta parva;5.58;NA;Reptilia;Least Concern;LC;not_threatened
Phoenicolacerta laevis;15.15;NA;Reptilia;Least Concern;LC;not_threatened
Phoenicolacerta troodica;7.98;NA;Reptilia;Least Concern;LC;not_threatened
Phrynocephalus guttatus;8.77;NA;Reptilia;Least Concern;LC;not_threatened
Phrynocephalus helioscopus;11.04;NA;Reptilia;Least Concern;LC;not_threatened
Phrynocephalus mystaceus;63.08;NA;Reptilia;Least Concern;LC;not_threatened
Platyceps collaris;117.22;NA;Reptilia;Least Concern;LC;not_threatened
Platyceps najadum;228.19;NA;Reptilia;Least Concern;LC;not_threatened
Platyceps ventromaculatus;210.79;NA;Reptilia;Least Concern;LC;not_threatened
Podarcis bocagei;7.98;NA;Reptilia;Least Concern;LC;not_threatened
Podarcis erhardii;13.66;NA;Reptilia;Least Concern;LC;not_threatened
Podarcis filfolensis;14.65;NA;Reptilia;Least Concern;LC;not_threatened
Podarcis melisellensis;9.40;NA;Reptilia;Least Concern;LC;not_threatened
Podarcis muralis;10.98;NA;Reptilia;Least Concern;LC;not_threatened
Podarcis tiliguerta;15.15;NA;Reptilia;Least Concern;LC;not_threatened
Podarcis vaucheri;5.06;NA;Reptilia;Least Concern;LC;not_threatened
Psammodromus hispanicus;4.13;NA;Reptilia;Least Concern;LC;not_threatened
Pseudocerastes persicus;652.02;NA;Reptilia;Least Concern;LC;not_threatened
Pseudopus apodus;585.91;NA;Reptilia;Least Concern;LC;not_threatened
Rhynchocalamus melanocephalus;25.69;NA;Reptilia;Least Concern;LC;not_threatened
Spalerosophis diadema;681.26;NA;Reptilia;Least Concern;LC;not_threatened
Stenodactylus grandiceps;4.87;NA;Reptilia;Least Concern;LC;not_threatened
Tarentola angustimentalis;13.26;NA;Reptilia;Least Concern;LC;not_threatened
Tarentola boettgeri;10.75;NA;Reptilia;Least Concern;LC;not_threatened
Tarentola delalandii;15.31;NA;Reptilia;Least Concern;LC;not_threatened
Tarentola gomerensis;11.40;NA;Reptilia;Least Concern;LC;not_threatened
Tarentola mauritanica;16.41;NA;Reptilia;Least Concern;LC;not_threatened
Teira dugesii;12.27;NA;Reptilia;Least Concern;LC;not_threatened
Telescopus fallax;186.23;NA;Reptilia;Least Concern;LC;not_threatened
Telescopus nigriceps;32.04;NA;Reptilia;Least Concern;LC;not_threatened
Testudo marginata;10955.81;NA;Reptilia;Least Concern;LC;not_threatened
Timon princeps;72.68;NA;Reptilia;Least Concern;LC;not_threatened
Trapelus agilis;52.98;NA;Reptilia;Least Concern;LC;not_threatened
Varanus griseus;5542.07;NA;Reptilia;Least Concern;LC;not_threatened
Vipera ammodytes;687.79;NA;Reptilia;Least Concern;LC;not_threatened
Vipera aspis;324.79;NA;Reptilia;Least Concern;LC;not_threatened
Vipera berus;227.40;NA;Reptilia;Least Concern;LC;not_threatened
Vipera seoanei;184.60;NA;Reptilia;Least Concern;LC;not_threatened
Zamenis hohenackeri;58.40;NA;Reptilia;Least Concern;LC;not_threatened
Zamenis longissimus;681.26;NA;Reptilia;Least Concern;LC;not_threatened
Zamenis situla;117.22;NA;Reptilia;Least Concern;LC;not_threatened
Zootoca vivipara;10.69;NA;Reptilia;Least Concern;LC;not_threatened
Algyroides moreoticus;3.01;NA;Reptilia;Near Threatened;NT;not_threatened
Anguis cephallonica;75.82;NA;Reptilia;Near Threatened;NT;not_threatened
Archaeolacerta bedriagae;14.05;NA;Reptilia;Near Threatened;NT;not_threatened
Chalcides bedriagai;20.04;NA;Reptilia;Near Threatened;NT;not_threatened
Darevskia dahli;6.12;NA;Reptilia;Near Threatened;NT;not_threatened
Darevskia derjugini;6.41;NA;Reptilia;Near Threatened;NT;not_threatened
Darevskia mixta;5.85;NA;Reptilia;Near Threatened;NT;not_threatened
Darevskia praticola;6.71;NA;Reptilia;Near Threatened;NT;not_threatened
Darevskia unisexualis;9.03;NA;Reptilia;Near Threatened;NT;not_threatened
Elaphe quatuorlineata;681.26;NA;Reptilia;Near Threatened;NT;not_threatened
Euleptes europaea;2.10;NA;Reptilia;Near Threatened;NT;not_threatened
Hellenolacerta graeca;14.15;NA;Reptilia;Near Threatened;NT;not_threatened
Iberolacerta bonnali;6.52;NA;Reptilia;Near Threatened;NT;not_threatened
Iberolacerta galani;14.15;NA;Reptilia;Near Threatened;NT;not_threatened
Iberolacerta horvathi;6.41;NA;Reptilia;Near Threatened;NT;not_threatened
Lacerta schreiberi;75.62;NA;Reptilia;Near Threatened;NT;not_threatened
Macroprotodon brevis;20.17;NA;Reptilia;Near Threatened;NT;not_threatened
Montivipera raddei;687.79;NA;Reptilia;Near Threatened;NT;not_threatened
Podarcis pityusensis;12.73;NA;Reptilia;Near Threatened;NT;not_threatened
Testudo hermanni;7363.23;NA;Reptilia;Near Threatened;NT;not_threatened
Timon lepidus;383.34;NA;Reptilia;Near Threatened;NT;not_threatened
Vipera renardi;192.38;NA;Reptilia;Near Threatened;NT;not_threatened
Darevskia dryada;8.81;NA;Reptilia;Critically Endangered;CE;threatened
Eremias pleskei;5.06;NA;Reptilia;Critically Endangered;CE;threatened
Gallotia bravoana;209.90;NA;Reptilia;Critically Endangered;CE;threatened
Gallotia intermedia;117.18;NA;Reptilia;Critically Endangered;CE;threatened
Gallotia simonyi;2671.63;NA;Reptilia;Critically Endangered;CE;threatened
Iberolacerta martinezricai;7.75;NA;Reptilia;Critically Endangered;CE;threatened
Montivipera wagneri;448.93;NA;Reptilia;Critically Endangered;CE;threatened
Podarcis raffonei;14.15;NA;Reptilia;Critically Endangered;CE;threatened
Vipera darevskii;41.75;NA;Reptilia;Critically Endangered;CE;threatened
Acanthodactylus schreiberi;18.45;NA;Reptilia;Endangered;EN;threatened
