species;body_size;synonym;class;corrected_status;corrected_code;corrected_agreg_ts
Calandrella rufescens;24.10;Alaudala rufescens;Aves;Least Concern;LC;not_threatened
Carduelis chloris;26.00;Chloris chloris;Aves;Least Concern;LC;not_threatened
Carduelis flammea;13.00;Acanthis flammea;Aves;Least Concern;LC;not_threatened
Carduelis flavirostris;15.40;Linaria flavirostris;Aves;Least Concern;LC;not_threatened
Carduelis spinus;13.24;Spinus spinus;Aves;Least Concern;LC;not_threatened
Charadrius morinellus;108.50;Eudromias morinellus;Aves;Least Concern;LC;not_threatened
Dendrocopos medius;59.00;Leiopicus medius;Aves;Least Concern;LC;not_threatened
Dendrocopos minor;19.80;Dryobates minor;Aves;Least Concern;LC;not_threatened
Egretta alba;NA;Ardea alba;Aves;Least Concern;LC;not_threatened
Hieraaetus fasciatus;NA;Aquila fasciata;Aves;Least Concern;LC;not_threatened
Hippolais caligata;8.90;Iduna caligata;Aves;Least Concern;LC;not_threatened
Hippolais pallida;9.00;Iduna pallida;Aves;Least Concern;LC;not_threatened
Hirundo daurica;22.20;Cecropis daurica;Aves;Least Concern;LC;not_threatened
Hoplopterus indicus;NA;Vanellus indicus;Aves;Least Concern;LC;not_threatened
Hoplopterus spinosus;NA;Vanellus spinosus;Aves;Least Concern;LC;not_threatened
Larus minutus;118.00;Hydrocoloeus minutus;Aves;Least Concern;LC;not_threatened
Larus sabini;NA;Xema sabini;Aves;Least Concern;LC;not_threatened
Limicola falcinellus;37.10;Calidris falcinellus;Aves;Least Concern;LC;not_threatened
Luscinia calliope;18.50;Calliope calliope;Aves;Least Concern;LC;not_threatened
Melanocorypha leucoptera;45.30;Alauda leucoptera;Aves;Least Concern;LC;not_threatened
Miliaria calandra;48.50;Emberiza calandra;Aves;Least Concern;LC;not_threatened
Parus ater;9.20;Periparus ater;Aves;Least Concern;LC;not_threatened
Parus caeruleus;13.30;Cyanistes caeruleus;Aves;Least Concern;LC;not_threatened
Parus cinctus;11.40;Poecile cinctus;Aves;Least Concern;LC;not_threatened
Parus cristatus;11.04;Lophophanes cristatus;Aves;Least Concern;LC;not_threatened
Parus cyanus;14.62;Cyanistes cyanus;Aves;Least Concern;LC;not_threatened
Parus lugubris;15.80;Poecile lugubris;Aves;Least Concern;LC;not_threatened
Parus montanus;11.10;Poecile montanus;Aves;Least Concern;LC;not_threatened
Parus palustris;11.14;Poecile palustris;Aves;Least Concern;LC;not_threatened
Petronia brachydactyla;22.30;Carpospiza brachydactyla;Aves;Least Concern;LC;not_threatened
Phalacrocorax aristotelis;1764.34;Gulosus aristotelis;Aves;Least Concern;LC;not_threatened
Phalacrocorax pygmaeus;NA;Microcarbo pygmaeus;Aves;Least Concern;LC;not_threatened
Philomachus pugnax;131.68;Calidris pugnax;Aves;Least Concern;LC;not_threatened
Porzana parva;49.70;Zapornia parva;Aves;Least Concern;LC;not_threatened
Porzana pusilla;35.40;Zapornia pusilla;Aves;Least Concern;LC;not_threatened
Regulus ignicapillus;NA;Regulus ignicapilla;Aves;Least Concern;LC;not_threatened
Saxicola torquata;NA;Saxicola torquatus;Aves;Least Concern;LC;not_threatened
Serinus citrinella;NA;Carduelis citrinella;Aves;Least Concern;LC;not_threatened
Stercorarius skua;1420.25;Catharacta skua;Aves;Least Concern;LC;not_threatened
Sterna albifrons;57.00;Sternula albifrons;Aves;Least Concern;LC;not_threatened
Sterna bengalensis;209.00;Thalasseus bengalensis;Aves;Least Concern;LC;not_threatened
Sterna caspia;655.00;Hydroprogne caspia;Aves;Least Concern;LC;not_threatened
Sterna fuscata;185.72;Onychoprion fuscatus;Aves;Least Concern;LC;not_threatened
Sterna sandvicensis;199.83;Thalasseus sandvicensis;Aves;Least Concern;LC;not_threatened
Streptopelia senegalensis;NA;Spilopelia senegalensis;Aves;Least Concern;LC;not_threatened
Sturnus roseus;72.97;Pastor roseus;Aves;Least Concern;LC;not_threatened
Sylvia cantillans;9.60;Curruca cantillans;Aves;Least Concern;LC;not_threatened
Sylvia communis;15.10;Curruca communis;Aves;Least Concern;LC;not_threatened
Sylvia conspicillata;9.00;Curruca conspicillata;Aves;Least Concern;LC;not_threatened
Sylvia curruca;11.44;Curruca curruca;Aves;Least Concern;LC;not_threatened
Sylvia hortensis;21.90;Curruca hortensis;Aves;Least Concern;LC;not_threatened
Sylvia melanocephala;11.70;Curruca melanocephala;Aves;Least Concern;LC;not_threatened
Sylvia melanothorax;11.40;Curruca melanothorax;Aves;Least Concern;LC;not_threatened
Sylvia mystacea;9.90;Curruca mystacea;Aves;Least Concern;LC;not_threatened
Sylvia nisoria;22.50;Curruca nisoria;Aves;Least Concern;LC;not_threatened
Sylvia rueppelli;12.84;Curruca ruppeli;Aves;Least Concern;LC;not_threatened
Sylvia sarda;9.80;Curruca sarda;Aves;Least Concern;LC;not_threatened
Tetrao tetrix;1068.66;Lyrurus tetrix;Aves;Least Concern;LC;not_threatened
Turnix sylvatica;NA;Turnix sylvaticus;Aves;Least Concern;LC;not_threatened
Accipiter brevipes;186.48;NA;Aves;Least Concern;LC;not_threatened
Accipiter gentilis;866.04;NA;Aves;Least Concern;LC;not_threatened
Accipiter nisus;220.79;NA;Aves;Least Concern;LC;not_threatened
Acrocephalus agricola;9.60;NA;Aves;Least Concern;LC;not_threatened
Acrocephalus arundinaceus;30.00;NA;Aves;Least Concern;LC;not_threatened
Acrocephalus dumetorum;11.20;NA;Aves;Least Concern;LC;not_threatened
Acrocephalus melanopogon;10.90;NA;Aves;Least Concern;LC;not_threatened
Acrocephalus palustris;11.50;NA;Aves;Least Concern;LC;not_threatened
Acrocephalus schoenobaenus;11.83;NA;Aves;Least Concern;LC;not_threatened
Acrocephalus scirpaceus;12.30;NA;Aves;Least Concern;LC;not_threatened
Actitis hypoleucos;48.00;NA;Aves;Least Concern;LC;not_threatened
Aegithalos caudatus;8.60;NA;Aves;Least Concern;LC;not_threatened
Aegolius funereus;137.18;NA;Aves;Least Concern;LC;not_threatened
Alauda arvensis;37.31;NA;Aves;Least Concern;LC;not_threatened
Alca torda;725.99;NA;Aves;Least Concern;LC;not_threatened
Alcedo atthis;31.09;NA;Aves;Least Concern;LC;not_threatened
Alectoris barbara;416.33;NA;Aves;Least Concern;LC;not_threatened
Alectoris chukar;502.10;NA;Aves;Least Concern;LC;not_threatened
Alle alle;180.73;NA;Aves;Least Concern;LC;not_threatened
Ammomanes deserti;23.80;NA;Aves;Least Concern;LC;not_threatened
Ammoperdix griseogularis;201.86;NA;Aves;Least Concern;LC;not_threatened
Anas acuta;944.62;NA;Aves;Least Concern;LC;not_threatened
Anas crecca;341.89;NA;Aves;Least Concern;LC;not_threatened
Anas platyrhynchos;843.42;NA;Aves;Least Concern;LC;not_threatened
Anser albifrons;2506.39;NA;Aves;Least Concern;LC;not_threatened
Anser anser;3302.41;NA;Aves;Least Concern;LC;not_threatened
Anser brachyrhynchus;2642.04;NA;Aves;Least Concern;LC;not_threatened
Anser fabalis;2754.73;NA;Aves;Least Concern;LC;not_threatened
Anthropoides virgo;NA;Anthropoides virgo;Aves;Least Concern;LC;not_threatened
Anthus berthelotii;15.86;NA;Aves;Least Concern;LC;not_threatened
Anthus campestris;23.00;NA;Aves;Least Concern;LC;not_threatened
Anthus cervinus;20.90;NA;Aves;Least Concern;LC;not_threatened
Anthus hodgsoni;21.30;NA;Aves;Least Concern;LC;not_threatened
Anthus petrosus;22.40;NA;Aves;Least Concern;LC;not_threatened
Anthus pratensis;18.40;NA;Aves;Least Concern;LC;not_threatened
Anthus spinoletta;23.90;NA;Aves;Least Concern;LC;not_threatened
Anthus trivialis;23.33;NA;Aves;Least Concern;LC;not_threatened
Apus affinis;22.57;NA;Aves;Least Concern;LC;not_threatened
Apus apus;37.60;NA;Aves;Least Concern;LC;not_threatened
Apus pallidus;41.90;NA;Aves;Least Concern;LC;not_threatened
Aquila chrysaetos;4247.97;NA;Aves;Least Concern;LC;not_threatened
Ardea cinerea;1443.00;NA;Aves;Least Concern;LC;not_threatened
Ardea purpurea;1064.48;NA;Aves;Least Concern;LC;not_threatened
Ardeola ralloides;287.00;NA;Aves;Least Concern;LC;not_threatened
Arenaria interpres;135.98;NA;Aves;Least Concern;LC;not_threatened
Asio flammeus;322.61;NA;Aves;Least Concern;LC;not_threatened
Asio otus;296.57;NA;Aves;Least Concern;LC;not_threatened
Athene noctua;168.92;NA;Aves;Least Concern;LC;not_threatened
Aythya fuligula;701.17;NA;Aves;Least Concern;LC;not_threatened
Aythya marila;1005.37;NA;Aves;Least Concern;LC;not_threatened
Bombycilla garrulus;54.41;NA;Aves;Least Concern;LC;not_threatened
Botaurus stellaris;1319.45;NA;Aves;Least Concern;LC;not_threatened
Branta bernicla;1277.91;NA;Aves;Least Concern;LC;not_threatened
Branta leucopsis;1683.97;NA;Aves;Least Concern;LC;not_threatened
Bubo bubo;2668.51;NA;Aves;Least Concern;LC;not_threatened
Bubulcus ibis;365.95;NA;Aves;Least Concern;LC;not_threatened
Bucanetes githagineus;19.60;NA;Aves;Least Concern;LC;not_threatened
Bucanetes mongolicus;21.90;NA;Aves;Least Concern;LC;not_threatened
Bucephala clangula;918.56;NA;Aves;Least Concern;LC;not_threatened
Bucephala islandica;921.21;NA;Aves;Least Concern;LC;not_threatened
Burhinus oedicnemus;459.00;NA;Aves;Least Concern;LC;not_threatened
Buteo buteo;759.10;NA;Aves;Least Concern;LC;not_threatened
Buteo lagopus;949.76;NA;Aves;Least Concern;LC;not_threatened
Buteo rufinus;1166.18;NA;Aves;Least Concern;LC;not_threatened
Calandrella brachydactyla;21.06;NA;Aves;Least Concern;LC;not_threatened
